Date,Open,High,Low,Close,Adj Close,Volume
9/10/2013,869,876,851,871.049988,850.405823,27061
9/11/2013,872,879,842,865.5,844.987427,10253
9/12/2013,870.099976,873.400024,863,867.5,846.940002,7050
9/13/2013,870,870,852,858,837.665161,8054
9/16/2013,863.849976,866.700012,854.549988,856.150024,835.859009,5628
9/17/2013,857.5,865,852,858.75,838.397339,3745
9/18/2013,865.849976,866.25,852,854.849976,834.589722,6807
9/19/2013,864,894.150024,860,886.799988,865.782654,14150
9/20/2013,880,893,857.200012,867.299988,846.744751,9496
9/23/2013,873,882,860.450012,878.799988,857.972168,14992
9/24/2013,871,883.049988,871,875.799988,855.043274,6563
9/25/2013,880.25,930,880.25,921.25,899.416077,39019
9/26/2013,925,949.549988,925,937,914.792786,35996
9/27/2013,938,948.200012,935.099976,943.450012,921.089966,8777
9/30/2013,939.200012,940,921.5,930.549988,908.495667,9583
10/1/2013,937.950012,937.950012,888,918.650024,896.877747,14132
10/3/2013,913.950012,932,905.049988,908.900024,887.358826,7936
10/4/2013,910,910,883.349976,888.349976,867.295837,15675
10/7/2013,888.799988,893.349976,866.049988,868.849976,848.258057,12953
10/8/2013,869.25,872.099976,852,853.150024,832.930176,21827
10/9/2013,859,892.900024,850.5,887.650024,866.612427,30078
10/10/2013,886,899.599976,885,896.099976,874.862244,12736
10/11/2013,906.400024,907,875,883.900024,862.951355,13815
10/14/2013,892,899.200012,886,888.299988,867.247009,6726
10/15/2013,960,960,884.099976,889.599976,868.516174,15315
10/17/2013,890.75,897,881.200012,888.599976,867.539856,4852
10/18/2013,890,900.900024,888,894.900024,873.690613,11068
10/21/2013,897,900,890,898.599976,877.302856,2249
10/22/2013,898,910.799988,893,900.75,879.401978,12114
10/23/2013,902.049988,907.450012,883.349976,890.650024,869.541382,7338
10/24/2013,894.900024,897.950012,885,888,866.954163,2413
10/25/2013,878.049988,898.700012,878.049988,891,869.883057,4509
10/28/2013,891.049988,895.900024,874.349976,878.950012,858.118652,2259
10/29/2013,887,899.900024,887,895.549988,874.325195,14631
10/30/2013,899.650024,901,890.049988,898.299988,877.01001,7918
10/31/2013,897.5,912.5,888.650024,906.400024,884.918091,17594
11/1/2013,911,916.900024,890,893.099976,871.933289,10587
11/5/2013,898,925,898,911.950012,890.336487,15448
11/6/2013,912,918.099976,892.599976,899.549988,878.230408,6063
11/7/2013,904.549988,923,897,899.599976,878.279236,12015
11/8/2013,900.900024,900.900024,886.5,891.700012,870.566406,6492
11/11/2013,898.400024,903.950012,884,896.099976,874.862244,7517
11/12/2013,904,907.400024,865.5,873.849976,853.139404,21593
11/13/2013,877,886.099976,873,878.599976,857.776917,5396
11/14/2013,881.099976,887.200012,878.099976,881.650024,860.754639,4496
11/18/2013,887,887,862,878.599976,857.776917,4589
11/19/2013,878,884.599976,864.650024,869.900024,849.28302,12087
11/20/2013,873,898,867.5,870.400024,849.771301,18309
11/21/2013,874.150024,895,873.25,880.849976,859.973511,21396
11/22/2013,882.900024,886.900024,872,876,855.238464,4607
11/25/2013,878,878,847.599976,850.450012,830.294067,22215
11/26/2013,855.099976,860,841,844.900024,824.875671,13473
11/27/2013,848.849976,848.849976,831.650024,834.400024,814.624451,9665
11/28/2013,840,850,840,843.650024,823.655334,8014
11/29/2013,846,846.099976,824.299988,835.799988,815.991333,10310
12/2/2013,833.049988,845,833,840.349976,820.433411,13346
12/3/2013,842.150024,854.849976,841,846.150024,826.096008,10322
12/4/2013,843,849.849976,829.349976,830.549988,810.865723,10616
12/5/2013,834.049988,845,830.549988,833.75,813.989868,12780
12/6/2013,837,844,832,834.599976,814.819641,7846
12/9/2013,850.950012,850.950012,818,833.099976,813.355286,22310
12/10/2013,838.150024,851.849976,829.299988,848.799988,828.683228,11838
12/11/2013,855,855.950012,843,851.900024,831.709717,12213
12/12/2013,854.900024,854.900024,837.049988,839.849976,819.945313,4933
12/13/2013,840,840,822.599976,824.400024,804.861572,8684
12/16/2013,828.849976,837.599976,825.75,829.25,809.596558,5433
12/17/2013,840,842.400024,820,822.25,802.762451,13488
12/18/2013,825,825.700012,819,822.200012,802.713684,4482
12/19/2013,825,828.450012,817,822.200012,802.713684,6342
12/20/2013,826,838,818.299988,831.099976,811.402588,10536
12/23/2013,834.900024,866.599976,832,850.900024,830.733398,29067
12/24/2013,854,884,850.400024,875.25,854.506348,31852
12/26/2013,879.900024,894.599976,879.900024,883.549988,862.609619,22421
12/27/2013,890,950,890,938.150024,915.915588,125480
12/30/2013,945.25,960.5,933,949,926.508484,39532
12/31/2013,950,953,939.599976,945.950012,923.530762,11077
1/1/2014,942.650024,987,942.650024,968,945.058167,38763
1/2/2014,972.650024,976.450012,920,930.700012,908.64209,20187
1/3/2014,930.700012,962.150024,922.299988,951.75,929.193237,22757
1/6/2014,959,959,937.200012,945.950012,923.530762,11261
1/7/2014,947,948.75,923,931.400024,909.325562,11472
1/8/2014,935,937.049988,904,909.049988,887.505249,13730
1/9/2014,908,910,879.799988,895.75,874.520447,20866
1/10/2014,900,920,895.599976,916.299988,894.583374,27027
1/13/2014,920,930,888.400024,899.299988,877.986328,13299
1/14/2014,904,911.799988,894,900.950012,879.597229,6224
1/15/2014,906.200012,910.900024,895,907.349976,885.845581,7944
1/16/2014,910,930,906.650024,922.5,900.636475,17770
1/17/2014,924,933.75,921.049988,926.950012,904.981018,9226
1/20/2014,926.950012,942,926.950012,939.099976,916.843018,9050
1/21/2014,941,948.650024,930.150024,946.950012,924.507019,77081
1/22/2014,946,946,928,942.099976,919.771912,6900
1/23/2014,942.150024,944.950012,930,941.25,918.942139,5379
1/24/2014,930,944.849976,929,941.049988,918.746826,5288
1/27/2014,937,939,925,935.599976,913.426025,2826
1/28/2014,934.549988,934.549988,907,918.849976,897.072937,5235
1/29/2014,918,925.700012,903.049988,906.75,885.259705,1984
1/30/2014,900,933,897,919.849976,898.049194,8850
1/31/2014,917.799988,939.5,901,927.200012,905.225159,5782
2/3/2014,936,968.900024,934,939.049988,916.794189,43353
2/4/2014,934,940,916,929.900024,907.861084,5776
2/5/2014,935,945,923.599976,933.400024,911.278198,3780
2/6/2014,937,947.900024,924.650024,945.25,922.847229,10819
2/7/2014,947,953.099976,941,945.900024,923.481934,7251
2/10/2014,952.450012,959,932.150024,945.099976,922.700806,26976
2/11/2014,942,947,931.650024,941.75,919.430176,3904
2/12/2014,940,943.049988,931,936.5,914.304688,103721
2/13/2014,940,943,927,931.099976,909.032593,3776
2/14/2014,935,935.75,905,912.450012,890.824646,6656
2/17/2014,902.049988,925,902.049988,920.75,898.927979,2691
2/18/2014,920,929.700012,920,923.950012,902.052124,2844
2/19/2014,928,937.799988,924,929.400024,907.372986,3587
2/20/2014,926,926,904,907.700012,886.187256,8421
2/21/2014,910,916.849976,899.299988,902.049988,880.671143,6043
2/24/2014,905,915,903.450012,908.950012,887.407654,3196
2/25/2014,912.650024,917.950012,908,912.849976,891.215088,4423
2/26/2014,917.400024,917.400024,906.299988,909.549988,887.993347,2862
2/28/2014,905,929,904.299988,921.400024,899.562561,6797
3/3/2014,922,925,903,904.650024,883.209534,2869
3/4/2014,907.75,909.799988,891.099976,902.75,881.354553,8079
3/5/2014,902.900024,914.900024,902.900024,908.099976,886.577698,8048
3/6/2014,903.150024,913,896,900.299988,878.962585,8652
3/7/2014,910,910,884,887.450012,866.417175,8501
3/10/2014,889,889,863,872.450012,851.772705,11711
3/11/2014,878,885.900024,852.5,856.099976,835.810181,17897
3/12/2014,859,871,853.5,863.299988,842.839539,7675
3/13/2014,866,890,855,858.599976,838.250977,7272
