Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,7.896670,7.896670,7.670000,7.750000,0.366255,63252
2002-07-02,7.786670,7.960000,7.626670,7.863330,0.371611,394968
2002-07-03,7.693330,7.750000,7.583330,7.613330,0.359796,118860
2002-07-04,7.610000,7.700000,7.093330,7.393330,0.349399,152052
2002-07-05,7.250000,7.750000,7.250000,7.596670,0.359009,572748
2002-07-08,7.583330,8.230000,7.500000,7.913330,0.373973,483564
2002-07-09,7.916670,8.376670,7.916670,8.286670,0.391617,639048
2002-07-10,8.250000,8.576670,8.096670,8.293330,0.391932,792204
2002-07-11,8.543330,8.543330,8.080000,8.143330,0.384843,469488
2002-07-12,8.476670,8.826670,8.096670,8.696670,0.410993,2768196
2002-07-15,9.000000,9.000000,7.626670,8.313330,0.392877,178728
2002-07-16,8.393330,8.660000,8.083330,8.466670,0.400124,355512
2002-07-17,8.336670,8.750000,8.166670,8.236670,0.389254,163356
2002-07-18,8.250000,8.376670,8.230000,8.310000,0.392720,137208
2002-07-19,8.253330,8.320000,8.083330,8.133330,0.384370,46284
2002-07-22,8.250000,9.166670,7.920000,8.546670,0.403904,1759644
2002-07-23,8.700000,9.626670,8.666670,9.083330,0.429266,2584236
2002-07-24,9.000000,9.416670,8.833330,8.913330,0.421232,1406976
2002-07-25,9.333330,9.416670,8.833330,8.886670,0.419972,435348
2002-07-26,8.916670,8.983330,8.046670,8.270000,0.390829,865536
2002-07-29,8.333330,8.333330,7.430000,7.793330,0.368302,434436
2002-07-30,8.050000,8.050000,7.510000,7.650000,0.361529,202536
2002-07-31,7.250000,8.043330,7.083330,7.903330,0.373501,608328
2002-08-01,7.866670,8.170000,7.583330,7.683330,0.363104,1203144
2002-08-02,7.580000,7.810000,7.466670,7.593330,0.358851,242556
2002-08-05,7.910000,8.210000,7.550000,7.700000,0.363892,306600
2002-08-06,7.746670,7.793330,7.583330,7.650000,0.361529,202560
2002-08-07,7.876670,7.920000,7.793330,7.816670,0.369405,164844
2002-08-08,7.793330,7.970000,7.676670,7.913330,0.373973,1045152
2002-08-09,7.763330,8.153330,7.763330,8.070000,0.381378,136212
2002-08-12,8.376670,8.583330,8.220000,8.346670,0.394452,490296
2002-08-13,8.560000,8.560000,8.386670,8.496670,0.401541,138828
2002-08-14,8.583330,8.583330,8.353330,8.460000,0.399808,331032
2002-08-15,null,null,null,null,null,null
2002-08-16,8.500000,8.500000,8.350000,8.386670,0.396343,64308
2002-08-19,8.403330,8.433330,8.210000,8.246670,0.389727,101016
2002-08-20,8.163330,8.520000,8.020000,8.466670,0.400124,271992
2002-08-21,8.460000,8.660000,8.430000,8.533330,0.403274,161916
2002-08-22,8.500000,8.750000,8.360000,8.453330,0.399493,181440
2002-08-23,8.620000,8.620000,8.420000,8.510000,0.402171,106680
2002-08-26,8.750000,8.863330,8.416670,8.783330,0.415088,460728
2002-08-27,9.166670,9.166670,8.666670,8.800000,0.415876,206232
2002-08-28,8.786670,9.000000,8.786670,8.963330,0.423595,283368
2002-08-29,8.910000,9.166670,8.876670,9.093330,0.429739,224040
2002-08-30,9.250000,10.366700,9.126670,10.016700,0.473376,1030920
2002-09-02,10.000000,10.000000,9.500000,9.630000,0.455101,453576
2002-09-03,9.586670,9.710000,9.503330,9.603330,0.453841,626484
2002-09-04,9.166670,9.910000,9.166670,9.843330,0.465183,216216
2002-09-05,9.986670,10.000000,9.416670,9.476670,0.447855,273816
2002-09-06,9.243330,9.633330,8.516670,9.226670,0.436040,208800
2002-09-09,9.083330,9.250000,9.083330,9.170000,0.433362,108672
2002-09-10,null,null,null,null,null,null
2002-09-11,9.666670,9.666670,9.186670,9.480000,0.448012,91188
2002-09-12,9.493330,9.583330,9.346670,9.466670,0.447382,154992
2002-09-13,9.343330,9.660000,8.750000,9.536670,0.450690,220464
2002-09-16,9.560000,9.653330,9.260000,9.370000,0.442814,124020
2002-09-17,9.393330,9.436670,9.166670,9.266670,0.437930,233868
2002-09-18,9.176670,9.333330,9.166670,9.166670,0.433205,147900
2002-09-19,9.130000,9.166670,9.083330,9.133330,0.431629,85644
2002-09-20,9.083330,9.146670,8.750000,9.076670,0.428951,89376
2002-09-23,8.996670,9.250000,8.850000,9.150000,0.432417,112464
2002-09-24,9.000000,9.326670,8.930000,9.250000,0.437143,154800
2002-09-25,9.166670,9.666670,9.096670,9.513330,0.449587,198624
2002-09-26,9.410000,9.583330,9.333330,9.570000,0.452266,139644
2002-09-27,9.660000,9.666670,9.463330,9.510000,0.449430,219588
2002-09-30,9.376670,10.000000,8.916670,9.283330,0.438718,622188
2002-10-01,9.166670,9.416670,9.000000,9.363330,0.442499,273420
2002-10-02,null,null,null,null,null,null
2002-10-03,9.333330,9.333330,8.920000,8.980000,0.424383,89952
2002-10-04,9.000000,9.000000,8.726670,8.783330,0.415088,198012
2002-10-07,8.843330,8.843330,8.616670,8.636670,0.408157,104004
2002-10-08,8.666670,8.793330,8.583330,8.750000,0.413513,93228
2002-10-09,8.793330,8.793330,8.626670,8.713330,0.411781,169992
2002-10-10,8.670000,8.966670,8.666670,8.836670,0.417609,42144
2002-10-11,8.796670,8.903330,8.633330,8.693330,0.410835,72960
2002-10-14,8.960000,8.993330,8.620000,8.733330,0.412726,103416
2002-10-15,null,null,null,null,null,null
2002-10-16,9.080000,9.166670,8.793330,9.013330,0.425958,189504
2002-10-17,9.160000,9.160000,8.916670,9.076670,0.428951,50244
2002-10-18,9.080000,9.083330,9.010000,9.060000,0.428164,69132
2002-10-21,9.010000,9.093330,8.876670,8.960000,0.423438,78900
2002-10-22,8.880000,9.033330,8.880000,8.926670,0.421863,50184
2002-10-23,9.160000,9.566670,9.000000,9.270000,0.438088,441996
2002-10-24,9.376670,9.376670,9.093330,9.120000,0.430999,174300
2002-10-25,9.243330,9.243330,9.016670,9.070000,0.428636,87372
2002-10-28,9.083330,9.163330,9.043330,9.070000,0.428636,64920
2002-10-29,9.046670,9.083330,8.980000,9.000000,0.425328,49728
2002-10-30,8.993330,9.063330,8.753330,8.766670,0.532673,40596
2002-10-31,8.833330,9.000000,8.750000,8.866670,0.538749,59388
2002-11-01,8.916670,9.060000,8.916670,8.916670,0.541787,520740
2002-11-04,8.983330,9.000000,8.876670,8.950000,0.543812,19512
2002-11-05,8.900000,9.126670,8.880000,9.086670,0.552116,38244
2002-11-06,null,null,null,null,null,null
2002-11-07,9.000000,9.076670,8.886670,8.933330,0.542800,37956
2002-11-08,9.000000,9.043330,8.943330,9.013330,0.547660,37260
2002-11-11,8.916670,9.036670,8.886670,9.003330,0.547053,67224
2002-11-12,8.930000,9.036670,8.930000,9.010000,0.547458,36240
2002-11-13,9.000000,9.026670,8.916670,8.933330,0.542800,103692
2002-11-14,8.893330,8.916670,8.833330,8.846670,0.537534,32712
2002-11-15,8.880000,8.893330,8.793330,8.836670,0.536926,124380
2002-11-18,8.770000,8.833330,8.710000,8.813330,0.535508,79716
2002-11-19,null,null,null,null,null,null
2002-11-20,8.793330,9.333330,8.750000,9.163330,0.556774,331032
2002-11-21,9.333330,9.416670,8.926670,9.043330,0.549483,400596
2002-11-22,9.146670,9.146670,8.853330,8.910000,0.541382,234396
2002-11-25,9.000000,9.000000,8.796670,8.813330,0.535508,62556
2002-11-26,8.893330,8.913330,8.770000,8.810000,0.535306,284580
2002-11-27,9.126670,9.210000,8.770000,8.786670,0.533888,62316
2002-11-28,8.796670,8.913330,8.793330,8.800000,0.534698,26064
2002-11-29,8.916670,8.916670,8.770000,8.810000,0.535306,28632
2002-12-02,8.833330,8.953330,8.796670,8.846670,0.537534,60096
2002-12-03,9.063330,9.063330,8.793330,8.793330,0.534293,54408
2002-12-04,8.833330,8.836670,8.750000,8.793330,0.534293,35688
2002-12-05,8.930000,8.930000,8.750000,8.766670,0.532673,51264
2002-12-06,8.676670,8.833330,8.626670,8.666670,0.526597,130536
2002-12-09,8.583330,8.750000,8.436670,8.510000,0.517077,281688
2002-12-10,8.583330,8.583330,8.250000,8.310000,0.504925,110124
2002-12-11,8.253330,8.333330,8.180000,8.246670,0.501077,59640
2002-12-12,8.260000,8.333330,8.166670,8.270000,0.502495,110448
2002-12-13,8.396670,8.483330,8.250000,8.380000,0.509178,81828
2002-12-16,9.000000,9.076670,8.416670,8.443330,0.513026,43356
2002-12-17,8.460000,8.576670,8.333330,8.376670,0.508976,33600
2002-12-18,8.333330,8.403330,8.020000,8.330000,0.506140,11904
2002-12-19,8.250000,8.333330,8.220000,8.270000,0.502495,23808
2002-12-20,8.333330,8.460000,8.263330,8.363330,0.508166,60372
2002-12-23,8.416670,8.453330,8.296670,8.330000,0.506140,151920
2002-12-24,8.336670,8.400000,8.333330,8.343330,0.506950,35160
2002-12-25,null,null,null,null,null,null
2002-12-26,8.333330,8.333330,8.226670,8.250000,0.501279,89232
2002-12-27,8.333330,8.333330,8.116670,8.130000,0.493988,139452
2002-12-30,8.153330,8.246670,7.676670,7.880000,0.478798,392376
2002-12-31,7.926670,8.050000,7.813330,7.850000,0.476975,118020
2003-01-01,8.000000,8.000000,7.866670,7.886670,0.479203,144408
2003-01-02,8.076670,8.083330,7.876670,7.903330,0.480215,124872
2003-01-03,8.076670,8.083330,7.916670,7.943330,0.482646,98352
2003-01-06,8.083330,8.083330,7.750000,7.900000,0.480013,50388
2003-01-07,7.916670,8.333330,7.916670,8.300000,0.504317,241908
2003-01-08,8.310000,9.166670,8.096670,8.860000,0.538344,360696
2003-01-09,8.993330,9.063330,8.343330,8.383330,0.509381,317220
2003-01-10,8.336670,8.580000,8.333330,8.363330,0.508166,90012
2003-01-13,8.270000,8.583330,8.270000,8.413330,0.511204,48852
2003-01-14,8.416670,8.416670,8.250000,8.333330,0.506343,39048
2003-01-15,8.336670,8.453330,8.250000,8.336670,0.506545,96804
2003-01-16,8.503330,8.916670,8.416670,8.526670,0.518090,98100
2003-01-17,8.550000,8.583330,8.250000,8.336670,0.506545,219732
2003-01-20,8.353330,8.543330,8.353330,8.496670,0.516267,97068
2003-01-21,8.583330,8.650000,8.416670,8.430000,0.512217,162324
2003-01-22,8.576670,8.576670,8.336670,8.443330,0.513026,170364
2003-01-23,8.420000,8.443330,8.336670,8.420000,0.511609,108996
2003-01-24,8.350000,8.500000,8.350000,8.483330,0.515457,107292
2003-01-27,8.416670,8.493330,8.296670,8.383330,0.509381,146064
2003-01-28,8.296670,8.433330,8.293330,8.346670,0.507153,84684
2003-01-29,8.330000,8.360000,8.250000,8.250000,0.659245,93072
2003-01-30,8.250000,8.376670,8.250000,8.336670,0.666171,92868
2003-01-31,8.250000,8.370000,8.250000,8.333330,0.665905,95640
2003-02-03,8.253330,8.496670,8.253330,8.396670,0.670966,146712
2003-02-04,8.333330,8.460000,8.313330,8.443330,0.674694,122292
2003-02-05,8.333330,8.580000,8.333330,8.546670,0.682952,145104
2003-02-06,8.393330,8.746670,8.393330,8.650000,0.691209,167868
2003-02-07,8.553330,8.743330,8.553330,8.710000,0.696004,221544
2003-02-10,8.666670,8.666670,8.266670,8.333330,0.665905,151332
2003-02-11,8.333330,8.430000,8.000000,8.353330,0.667502,193536
2003-02-12,8.336670,8.416670,8.250000,8.333330,0.665905,135132
2003-02-13,null,null,null,null,null,null
2003-02-14,8.383330,8.383330,8.120000,8.243330,0.658713,206664
2003-02-17,8.560000,8.560000,8.250000,8.270000,0.660844,463764
2003-02-18,8.170000,8.500000,8.170000,8.466670,0.676559,77328
2003-02-19,8.486670,8.726670,8.416670,8.700000,0.695204,182460
2003-02-20,8.546670,8.783330,8.546670,8.750000,0.699200,153876
2003-02-21,8.600000,8.833330,8.600000,8.800000,0.703195,157104
2003-02-24,8.833330,8.913330,8.750000,8.910000,0.711985,179208
2003-02-25,8.750000,8.986670,8.750000,8.933330,0.713849,154680
2003-02-26,8.943330,9.016670,8.863330,8.993330,0.718644,157452
2003-02-27,8.950000,9.083330,8.926670,9.053330,0.723439,157536
2003-02-28,9.050000,9.203330,9.003330,9.116670,0.728500,185952
2003-03-03,9.126670,9.166670,9.000000,9.116670,0.728500,121524
2003-03-04,9.046670,9.083330,8.863330,8.930000,0.713584,69468
2003-03-05,9.000000,9.000000,8.603330,8.926670,0.713318,116520
2003-03-06,8.813330,8.936670,8.813330,8.916670,0.712518,51372
2003-03-07,8.520000,8.913330,8.520000,8.820000,0.704793,114024
2003-03-10,8.636670,8.800000,8.636670,8.750000,0.699200,93756
2003-03-11,8.550000,8.746670,8.443330,8.683330,0.693872,84312
2003-03-12,8.750000,8.766670,8.696670,8.746670,0.698933,51048
2003-03-13,8.743330,8.793330,8.603330,8.753330,0.699466,87168
2003-03-14,null,null,null,null,null,null
2003-03-17,8.666670,8.666670,8.343330,8.526670,0.681354,67944
2003-03-18,null,null,null,null,null,null
2003-03-19,8.583330,8.666670,8.513330,8.600000,0.687214,121692
2003-03-20,8.333330,8.793330,8.333330,8.760000,0.699999,125328
2003-03-21,8.750000,8.793330,8.603330,8.783330,0.701863,160392
2003-03-24,8.666670,8.770000,8.626670,8.743330,0.698667,75516
2003-03-25,8.516670,8.760000,8.516670,8.730000,0.697601,52380
2003-03-26,8.750000,8.833330,8.666670,8.716670,0.696537,49128
2003-03-27,8.743330,8.750000,8.550000,8.643330,0.690676,119076
2003-03-28,8.646670,8.746670,8.633330,8.696670,0.694939,107388
2003-03-31,8.603330,8.770000,8.603330,8.726670,0.697335,187920
2003-04-01,8.670000,8.786670,8.670000,8.780000,0.701597,150888
2003-04-02,8.763330,8.960000,8.763330,8.913330,0.712251,115188
2003-04-03,8.960000,9.160000,8.960000,9.126670,0.729299,107460
2003-04-04,9.166670,9.293330,9.046670,9.076670,0.725303,126336
2003-04-07,8.916670,9.210000,8.916670,9.176670,0.733294,133608
2003-04-08,9.216670,9.216670,9.050000,9.120000,0.728766,122460
2003-04-09,9.053330,9.186670,9.053330,9.166670,0.732495,66456
2003-04-10,9.043330,9.210000,9.043330,9.146670,0.730897,174696
2003-04-11,8.583330,9.203330,8.583330,9.166670,0.732495,49056
2003-04-14,null,null,null,null,null,null
2003-04-15,8.593330,9.166670,8.593330,9.100000,0.727168,27780
2003-04-16,9.283330,9.283330,9.083330,9.093330,0.726635,25416
2003-04-17,9.166670,9.166670,9.043330,9.086670,0.726103,60192
2003-04-18,null,null,null,null,null,null
2003-04-21,9.000000,9.120000,8.843330,8.903330,0.711452,41856
2003-04-22,9.000000,9.083330,8.996670,9.043330,0.722639,104160
2003-04-23,9.043330,9.116670,9.043330,9.080000,0.725570,34284
2003-04-24,9.043330,9.136670,9.043330,9.043330,0.722639,60720
