Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,63.000000,63.150002,60.049999,63.150002,52.885189,1700
2000-01-04,60.099998,62.500000,58.200001,59.950001,50.205330,2100
2000-01-05,57.000000,59.950001,55.500000,59.950001,50.205330,1550
2000-01-06,59.950001,62.000000,58.099998,62.000000,51.922115,1857
2000-01-07,60.950001,61.950001,58.000000,58.549999,49.032890,2300
2000-01-10,62.000000,62.700001,60.000000,60.049999,50.289074,3200
2000-01-11,59.000000,59.000000,58.000000,58.000000,48.572285,300
2000-01-12,58.000000,58.950001,56.000000,58.950001,49.367870,1900
2000-01-13,59.500000,59.500000,56.000000,56.599998,47.399860,970
2000-01-14,55.750000,57.349998,54.099998,57.349998,48.027946,1000
2000-01-17,57.500000,59.000000,54.250000,54.250000,45.431843,700
2000-01-18,56.000000,57.450001,55.000000,57.450001,48.111694,290
2000-01-19,56.000000,62.000000,56.000000,62.000000,51.922115,13524
2000-01-20,60.299999,63.000000,60.000000,61.099998,51.168396,1194
2000-01-21,58.549999,61.349998,58.549999,61.349998,51.377766,1200
2000-01-24,60.000000,63.000000,60.000000,63.000000,52.759560,1400
2000-01-25,62.000000,63.000000,62.000000,62.049999,51.963970,2153
2000-01-26,62.049999,62.049999,62.049999,62.049999,51.963970,0
2000-01-27,61.099998,61.099998,61.000000,61.000000,51.084660,1150
2000-01-28,61.900002,64.000000,61.000000,61.150002,51.210278,2950
2000-01-31,60.000000,61.599998,60.000000,61.500000,51.503380,329
2000-02-01,62.000000,65.000000,62.000000,63.650002,53.303905,3130
2000-02-02,63.000000,67.500000,61.849998,65.250000,54.643837,3689
2000-02-03,65.250000,65.250000,65.250000,65.250000,54.643837,0
2000-02-04,64.050003,71.000000,64.000000,71.000000,59.459183,13435
2000-02-07,72.000000,76.000000,72.000000,76.000000,63.646458,2272
2000-02-08,80.000000,82.000000,79.000000,82.000000,68.671158,10216
2000-02-09,78.000000,86.000000,76.000000,76.000000,63.646458,7850
2000-02-10,80.000000,82.050003,79.000000,82.050003,68.713051,5174
2000-02-11,84.000000,84.000000,78.000000,80.500000,67.415001,5425
2000-02-14,83.000000,84.800003,75.000000,76.000000,63.646458,4250
2000-02-15,73.000000,75.000000,71.000000,71.250000,59.668556,1650
2000-02-16,66.250000,69.900002,65.800003,69.000000,57.784290,1224
2000-02-17,69.000000,71.000000,65.400002,65.400002,54.769447,1600
2000-02-18,66.000000,67.250000,62.099998,62.700001,52.508327,865
2000-02-21,65.000000,66.000000,62.000000,65.150002,54.560093,3170
2000-02-22,65.150002,65.150002,65.150002,65.150002,54.560093,0
2000-02-23,66.000000,66.000000,60.099998,60.099998,50.330952,400
2000-02-24,60.000000,61.049999,60.000000,60.200001,50.414688,1055
2000-02-25,58.049999,60.000000,57.000000,59.000000,49.409748,2950
2000-02-28,59.000000,63.700001,59.000000,63.250000,52.968918,841
2000-02-29,65.000000,67.500000,65.000000,65.199997,54.601955,1450
2000-03-01,67.449997,67.500000,64.500000,64.500000,54.015739,150
2000-03-02,65.099998,65.099998,60.000000,62.000000,51.922115,2076
2000-03-03,62.000000,62.000000,58.250000,62.000000,51.922115,750
2000-03-06,62.000000,62.000000,57.099998,60.000000,50.247208,800
2000-03-07,56.000000,56.000000,55.400002,55.400002,46.394917,200
2000-03-08,52.000000,55.000000,52.000000,52.500000,43.966309,400
2000-03-09,54.000000,55.000000,51.000000,55.000000,46.059933,1500
2000-03-10,52.250000,54.000000,51.299999,51.299999,42.961357,1050
2000-03-13,51.299999,51.299999,51.299999,51.299999,42.961357,0
2000-03-14,55.500000,55.500000,55.099998,55.099998,46.143681,100
2000-03-15,56.950001,57.000000,54.799999,57.000000,47.734840,5950
2000-03-16,55.549999,57.000000,55.549999,57.000000,47.734840,1150
2000-03-17,57.000000,57.000000,57.000000,57.000000,47.734840,0
2000-03-20,57.000000,57.000000,57.000000,57.000000,47.734840,0
2000-03-21,56.000000,57.099998,54.000000,57.099998,47.818588,499
2000-03-22,56.750000,56.750000,52.549999,54.000000,45.222481,1200
2000-03-23,52.000000,54.000000,52.000000,54.000000,45.222481,1589
2000-03-24,55.000000,55.000000,53.000000,53.000000,44.385036,299
2000-03-27,56.000000,57.200001,56.000000,57.200001,47.902328,200
2000-03-28,55.000000,59.849998,55.000000,59.849998,50.121578,200
2000-03-29,60.000000,60.000000,57.200001,57.200001,47.902328,375
2000-03-30,57.200001,61.000000,57.200001,61.000000,51.084660,100
2000-03-31,57.200001,63.000000,56.750000,62.950001,52.717690,300
2000-04-03,62.950001,62.950001,62.950001,62.950001,52.717690,0
2000-04-04,58.299999,58.299999,58.000000,58.000000,48.572285,150
2000-04-05,58.000000,58.000000,58.000000,58.000000,48.572285,0
2000-04-06,62.000000,62.000000,62.000000,62.000000,51.922115,1
2000-04-07,63.000000,66.599998,60.000000,63.599998,53.262035,331
2000-04-10,68.500000,68.500000,65.000000,68.250000,57.156193,700
2000-04-11,68.250000,68.250000,68.250000,68.250000,57.156193,0
2000-04-12,67.000000,67.000000,66.550003,66.550003,55.732525,200
2000-04-13,66.250000,66.250000,63.500000,63.500000,53.178284,375
2000-04-14,63.500000,63.500000,63.500000,63.500000,53.178284,0
2000-04-17,62.000000,62.000000,61.950001,61.950001,51.880238,100
2000-04-18,60.000000,61.000000,58.500000,61.000000,51.084660,725
2000-04-19,62.500000,62.500000,62.000000,62.000000,51.922115,200
2000-04-20,61.000000,61.000000,59.099998,60.000000,50.247208,350
2000-04-21,60.000000,60.000000,60.000000,60.000000,50.247208,0
2000-04-24,60.000000,60.000000,60.000000,60.000000,50.247208,0
2000-04-25,64.000000,64.300003,61.700001,61.700001,51.670872,400
2000-04-26,61.700001,61.700001,61.700001,61.700001,51.670872,0
2000-04-27,63.200001,65.849998,63.099998,65.849998,55.146305,180
2000-04-28,62.099998,64.000000,60.750000,61.000000,51.084660,1200
2000-05-01,61.000000,61.000000,61.000000,61.000000,51.084660,0
2000-05-02,65.000000,65.000000,59.099998,59.099998,49.493496,650
