,Date,Open,High,Low,Close,Adj Close,Volume,MA for 10 days,MA for 14 days,MA for 22 days,EMA of 22 Days,UBB,LBB,EMA2,EMA3,TEMA,pctB,MACD,RSI
9178,5/5/2017,146.759995,148.979996,146.759995,148.960007,144.440811,27327700,145.5929979,144.4657125,143.7736359,141.6917197,148.315348,139.2319239,135.9663468,129.4954785,146.6715972,21.41941855,1.242563314,72.05846018
9179,5/8/2017,149.029999,153.699997,149.029999,153.009995,148.36792,48752400,146.5299975,145.3092838,144.1822719,142.2061867,150.1960422,138.1685015,136.2499759,129.8025011,147.6711337,24.67918231,1.774165218,79.16145243
9180,5/9/2017,153.869995,154.880005,153.449997,153.990005,149.318192,39130400,147.4759981,146.2599989,144.6518174,142.7418148,151.9669939,137.3366409,136.5450595,130.108981,148.6992471,22.76549874,2.353524237,80.45613392
9181,5/10/2017,153.630005,153.940002,152.110001,153.259995,148.610352,25805700,148.4339983,147.0328556,145.1027264,143.2199139,153.2541951,136.9512577,136.8484619,130.4153211,149.5296771,20.00711519,2.78749834,76.63656368
9182,5/11/2017,152.449997,154.070007,152.309998,153.949997,149.895569,27255100,149.4499987,147.8671408,145.5927264,143.707645,154.5167483,136.6687045,137.160243,130.7219084,150.3641144,19.36491498,3.219421519,77.71353172
9183,5/12/2017,154.699997,156.419998,154.669998,156.100006,151.988968,32527000,150.6949999,148.7571413,146.2504537,144.2709341,156.0414391,136.4594683,137.4834562,131.0292515,151.3916852,20.05981717,3.789807141,80.69904797
9184,5/15/2017,156.009995,156.649994,155.050003,155.699997,151.599518,26009700,151.6069994,149.5549983,146.8822716,144.790437,157.2469361,136.5176071,137.8155917,131.3377215,152.2622573,18.50748754,4.319230821,78.58965385
9185,5/16/2017,155.940002,156.059998,154.720001,155.470001,151.375549,20048500,152.403,150.3971417,147.537726,145.2758717,158.1770064,136.8984457,138.1546953,131.647584,153.0111131,17.45564989,4.83769275,77.33790578
9186,5/17/2017,153.600006,154.570007,149.710007,150.25,146.29303,50767700,152.7220002,150.8585708,147.9204532,145.5019684,158.3019914,137.538915,138.4886623,131.9585421,152.9984605,12.24393219,4.871218147,55.66673797
9187,5/18/2017,151.270004,153.339996,151.130005,152.539993,148.522705,33568200,153.3229996,151.4935707,148.4359076,145.8218787,158.5415979,138.3302173,138.8219903,132.270517,153.270182,14.06116286,4.870769724,60.84964969
9188,5/19/2017,153.380005,153.979996,152.630005,153.059998,149.029007,26960800,153.7329987,151.9564276,148.9986351,146.1508841,158.6636684,139.3336018,139.1551218,132.5834536,153.5707403,14.20211995,4.937692994,61.93781746
9189,5/22/2017,154,154.580002,152.910004,153.990005,149.93454,22966400,153.8309997,152.4192854,149.5236352,146.5072078,158.947535,140.0997354,139.4893076,132.897356,153.9510566,14.73940711,5.061667776,63.8718734
9190,5/23/2017,154.899994,154.899994,153.309998,153.800003,149.749542,19918900,153.8119995,152.9007144,150.0477261,146.8386984,159.054404,141.0410482,139.8233708,133.2121749,154.2581578,14.16610535,5.004616122,63.16569688
9191,5/24/2017,153.839996,154.169998,152.669998,153.339996,149.301636,19178000,153.8199996,153.3871427,150.488635,147.134212,159.1228368,141.8544333,140.1556818,133.5277888,154.4633795,13.30240252,4.565193167,61.39585835
9192,5/25/2017,153.729996,154.350006,153.029999,153.869995,149.817673,19235600,153.8119994,153.7378561,150.9131803,147.4403839,159.2323785,142.5939821,140.4868046,133.8441077,154.7048458,13.55420632,4.047884564,62.69285733
9193,5/26/2017,154,154.240005,153.309998,153.610001,149.564529,21927600,153.5629989,153.7807137,151.3645443,147.7208211,159.0959811,143.6331075,140.8156235,134.1609948,154.8765875,12.90432004,3.647436385,61.59951544
9194,5/30/2017,153.419998,154.429993,153.330002,153.669998,149.622955,20126900,153.359999,153.7578561,151.8136355,147.9912382,158.814637,144.8126339,141.1417878,134.4783036,155.0266547,12.65156711,3.185641827,61.76522492
9195,5/31/2017,153.970001,154.169998,152.380005,152.759995,148.736908,24451200,153.0889984,153.7221418,152.2277264,148.2079999,158.2086772,146.2467756,141.4629793,134.7957888,155.0308506,10.88993976,2.5565385,57.69825199
