,Date,Open,High,Low,Close,Adj Close,Volume,MA for 10 days,MA for 14 days,MA for 22 days,EMA of 22 Days,UBB,LBB,EMA2,EMA3,TEMA,pctB,MACD,RSI,TR,ATR,ChandelierExitL,Diff,CMO,FI,BullPower,BearPower,STCK,STCD,WilliamsR,Multiplier,MVolume,ADL,TP,SMP of TP,MAD of TP,CCI,KAMA
13,6/12/2002,1.153571,1.182143,1.089286,1.092857,1.092857,1799000,1.1245,1.136581643,,,,,,,,,,,0.092857,,,-0.060714,537.144,-109224.486,,,,,,-0.923086036,-1660631.778,-15760138.3,1.121428667,,,,1.131614944
14,6/13/2002,1.104286,1.122143,1.08,1.082857,1.082857,2567600,1.1256428,1.128469357,,,,,,,,,,37.47326758,0.042143,,,-0.01,1386.708979,-25676,,,,,,-0.864414019,-2219469.435,-17979607.74,1.095,,,,1.111424138
15,6/14/2002,1.082143,1.085714,0.98,0.986429,0.986429,4783800,1.1166428,1.1125,,,,,,,,,,27.66847623,0.105714,,,-0.096428,4700.435594,-461292.2664,,,,,,-0.878369942,-4201946.126,-22181553.86,1.017381,,,,1.081742222
16,6/17/2002,1.013571,1.059286,0.917857,0.922143,0.922143,4855200,1.096,1.095714286,,,,,,,,,,23.29287431,0.141429,,,-0.064286,-243.7210677,-312121.3872,,,,,,-0.939390083,-4560926.729,-26742480.59,0.966428667,,,,1.066615575
17,6/18/2002,0.938571,0.939286,0.842143,0.910714,0.910714,10808000,1.0752857,1.081938786,,,,,,,,,,22.60833614,0.097143,,,-0.011429,-204.3808823,-123524.632,,,,,,0.411753806,4450235.138,-22292245.45,0.897381,,,,1.046985779
18,6/19/2002,0.911429,0.996429,0.892857,0.951429,0.951429,5482400,1.0557143,1.073367357,,,,,,,,,,30.44990903,0.103572,,,0.040715,-161.6320333,223215.916,,,,,,0.131039277,718409.7324,-21573835.72,0.946905,,,,1.034719831
19,6/20/2002,0.971429,1.04,0.95,0.957143,0.957143,6111000,1.0332143,1.064846929,,,,,,,,,,31.49891255,0.09,,,0.005714,-168.1129017,34918.254,,,,,,-0.841266667,-5140980.6,-26714816.32,0.982381,,,,1.026906723
20,6/21/2002,0.982143,0.989286,0.947857,0.979286,0.979286,2346400,1.0192858,1.054183714,,,,,,,,,,35.55536966,0.041429,,,0.022143,-204.4267413,51956.3352,,,,,,0.517246373,1213666.89,-25501149.43,0.972143,,,,1.018803168
21,6/24/2002,0.979286,1.014286,0.957143,0.978571,0.978571,2567600,1.0015,1.044234714,1.076396136,1.054693429,1.262994447,0.889797826,,,,4.757447898,,35.48230363,0.057143,0.069726684,,-0.000715,-177.4199376,-1835.834,,,,,,-0.250021875,-641956.1661,-26143105.6,0.983333333,1.084502197,,,1.014529973
22,6/25/2002,0.988571,1.007143,0.947143,0.964286,0.964286,3941000,0.9825715,1.0311735,1.065844182,1.048438381,1.250240552,0.881447812,,,,4.492397983,,33.97988458,0.06,0.069053721,1.002838837,-0.014285,-178.368,-56297.185,-0.041295381,-0.101295381,30.48134081,,-69.51865919,-0.428566667,-1688981.233,-27832086.83,0.972857333,1.074404803,16.88590864,-0.400916022,1.00996205
23,6/26/2002,0.963571,0.996429,0.921429,0.988571,0.988571,2924600,0.9721429,1.017346929,1.055779227,1.04439234,1.231154842,0.880403612,,,,6.167755289,,38.72965021,0.075,0.069455591,1.001633228,0.024285,-206.6679111,71023.911,-0.04796334,-0.12296334,37.54564103,,-62.45435897,0.790453333,2311759.819,-25520327.01,0.968809667,1.063409136,16.88590864,-0.373484865,1.006000611
24,6/27/2002,1.009286,1.018571,0.942857,0.943571,0.943571,3817800,0.9582143,1.004846929,1.046071409,1.037726011,1.221578802,0.870564016,,,,4.159766882,,33.86740446,0.075714,0.069869398,0.972534805,-0.045,-296.9687971,-171801,-0.019155011,-0.094869011,26.00717949,30.59283288,-73.99282051,-0.981139551,-3745794.58,-29266121.59,0.968333,1.0536905,16.88590864,-0.336996967,0.997586214
25,6/28/2002,0.960714,1.013571,0.960714,0.999286,0.999286,9234400,0.9595,0.993622429,1.041331182,1.03523581,1.215961825,0.866700538,,,,7.592336548,-0.088608051,43.35019307,0.07,0.069877859,0.972509424,0.055715,-533.3240002,514494.596,-0.02166481,-0.07452181,40.29307692,34.62216502,-59.70692308,0.459485026,4243068.521,-25023053.07,0.991190333,1.047932924,16.88590864,-0.224023443,0.998266861
26,7/1/2002,1,1.046429,0.992857,1.027857,1.027857,4585000,0.9700714,0.984642857,1.039350636,1.034766863,1.213538631,0.865162641,,,,9.340159099,-0.086707846,47.50700028,0.053572,0.06884157,0.975618291,0.028571,285.1859534,130998.035,0.011662137,-0.041909863,47.61897436,39.6114615,-52.38102564,0.306652729,1406002.763,-23617050.31,1.022381,1.04515153,16.88590864,-0.089899536,1.002479703
27,7/2/2002,1.053571,1.195,1.039286,1.172857,1.172857,9020200,0.9962857,0.990357143,1.043733727,1.04338692,1.226474316,0.860993139,,,,17.06593286,-0.069743603,62.53285767,0.167143,0.07497788,0.957209361,0.145,202.4388995,1307929,0.15161308,-0.00410092,84.79846154,56.12340287,-15.20153846,0.715593974,6454800.76,-17162249.55,1.135714333,1.047889621,16.88590864,0.346737681,1.002479886
28,7/3/2002,1.178571,1.214286,1.117857,1.214286,1.214286,4957400,1.0225714,0.999744929,1.047629864,1.053877017,1.241279474,0.853980253,,,,18.60606618,-0.04759616,65.56570275,0.096429,0.076294588,0.985402235,0.041429,154.1936882,205380.1246,0.160408983,0.063979983,95.42128205,70.03702789,-4.578717949,1,4957400,-12204849.55,1.182143,1.050800879,16.88590864,0.518547246,1.011215585
29,7/5/2002,1.214286,1.299286,1.213571,1.276429,1.276429,2003400,1.0545,1.020459214,1.054837682,1.067323498,1.270045284,0.83963008,,,,20.29663062,-0.023768295,69.54762905,0.085715,0.076863765,1.045837705,0.062143,146.6666407,124497.2862,0.231962502,0.146247502,95.00003281,78.69588463,-4.999967188,0.466674444,934935.5819,-11269913.97,1.263095333,1.057175348,16.88590864,0.812985507,1.017743776
30,7/8/2002,1.252143,1.252143,1.167857,1.175714,1.175714,1953000,1.0741428,1.038571429,1.056136364,1.07377584,1.274006506,0.838266221,,,,15.48848203,-0.00908884,57.86804383,0.108572,0.078751314,1.040175058,-0.100715,140.384596,-196696.395,0.17836716,0.09408116,72.96863345,76.735815,-27.03136655,-0.813563344,-1588889.211,-12858803.18,1.198571333,1.059935076,16.88590864,0.547344971,1.040930874
31,7/9/2002,1.175,1.196429,1.114286,1.160714,1.160714,2935800,1.0923571,1.056428571,1.055162318,1.078879325,1.270852476,0.83947216,,,,14.89367169,0.004633679,56.35021618,0.082143,0.078950414,1.039577757,-0.015,262.318723,-44037,0.117549675,0.035406675,69.68738447,74.34487561,-30.31261553,0.130418904,382883.8172,-12475919.36,1.157143,1.058549803,16.88590864,0.389252361,1.065683559
32,7/10/2002,1.161429,1.178571,1.132143,1.163571,1.163571,1554000,1.1122856,1.071581571,1.057207773,1.083785934,1.276245285,0.83817026,,,,14.85593659,0.018644609,56.58379806,0.046428,0.07706623,1.045230311,0.002857,263.6375669,4439.778,0.094785066,0.048357066,70.31235303,72.98497963,-29.68764697,0.353838201,549864.5645,-11926054.79,1.158095,1.059675348,16.88590864,0.388567192,1.08420152
33,7/11/2002,1.154286,1.278571,1.132857,1.269286,1.269286,2529800,1.1403571,1.0938775,1.062337636,1.094400399,1.295916378,0.828758895,,,,18.8598972,0.037046667,64.21465515,0.145714,0.080994311,1.033446066,0.105715,283.6742857,267437.807,0.184170601,0.038456601,93.43750205,79.85544012,-6.562497949,0.872558574,2207398.68,-9718656.115,1.226904667,1.062932909,16.88590864,0.647371174,1.103892095
34,7/12/2002,1.278571,1.28,1.207143,1.207857,1.207857,2837800,1.1667857,1.110204,1.064805182,1.10081698,1.303513334,0.82609703,,,,15.9927496,0.055009096,57.85169644,0.072857,0.080534103,1.034826692,-0.061429,171.0529144,-174323.2162,0.17918302,0.10632602,79.9999125,79.9038463,-20.0000875,-0.980399962,-2782179.011,-12500835.13,1.231666667,1.066331197,16.88590864,0.652755199,1.118986276
35,7/15/2002,1.242857,1.248571,1.076429,1.142857,1.142857,4239200,1.1811428,1.121938714,1.067077909,1.103168465,1.307848438,0.82630738,,,,13.14735741,0.069377263,51.98215923,0.172142,0.08565814,1.019454579,-0.065,269.8644586,-275548,0.145402535,-0.026739465,65.78116694,75.1801054,-34.21883306,-0.228218564,-967464.1354,-13468299.26,1.155952333,1.067900455,16.88590864,0.34763455,1.125270108
36,7/16/2002,1.152857,1.157143,1.104286,1.126429,1.126429,1941800,1.191,1.133520357,1.069058455,1.104456037,1.311086444,0.827030465,,,,12.37040953,0.084313199,50.58525157,0.052857,0.083842455,1.024901636,-0.016428,521.12,-31899.8904,0.052686963,-0.000170037,62.18754307,70.83933846,-37.81245693,-0.162154492,-314871.5932,-13783170.85,1.129286,1.069458909,16.88590864,0.23620125,1.125643499
