,Date,Open,High,Low,Close,Adj Close,Volume,MA for 10 days,MA for 14 days,MA for 22 days,EMA of 22 Days,UBB,LBB,EMA2,EMA3,TEMA,pctB,MACD,RSI,TR,ATR,ChandelierExitL,Diff,CMO,FI,BullPower,BearPower,STCK,STCD,WilliamsR,Multiplier,MVolume,ADL,TP,SMP of TP,MAD of TP,CCI,KAMA
13,6/4/1997,1.479167,1.489583,1.395833,1.416667,1.416667,3080400,1.4848958,1.562872,,,,,,,,,,,0.09375,,,-0.0625,-353.33376,-192525,,,,,,-0.555541333,-1711289.523,-82287374.61,1.434027667,,,,1.485360242
14,6/5/1997,1.416667,1.541667,1.375,1.541667,1.541667,5672400,1.4963542,1.533110143,,,,,,,,,,38.52358948,0.166667,,,0.125,-3900.249616,709050,,,,,,1,5672400,-76614974.61,1.486111333,,,,1.499258913
15,6/6/1997,1.515625,1.708333,1.510417,1.65625,1.65625,7807200,1.5223959,1.527901786,,,,,,,,,,48.66871729,0.197916,,,0.114583,342.8555755,894572.3976,,,,,,0.473685806,3698159.825,-72916814.78,1.625,,,,1.518826535
16,6/9/1997,1.65625,1.708333,1.65625,1.6875,1.6875,2352000,1.5411459,1.526413714,,,,,,,,,,51.04167547,0.052083,,,0.03125,326.66624,73500,,,,,,0.20000768,470418.0635,-72446396.72,1.684027667,,,,1.552298424
17,6/10/1997,1.708333,1.708333,1.53125,1.583333,1.583333,5458800,1.5411459,1.522693429,,,,,,,,,,43.77696322,0.177083,,,-0.104167,439.998272,-568626.8196,,,,,,-0.411767363,-2247755.683,-74694152.4,1.607638667,,,,1.566091569
18,6/11/1997,1.59375,1.604167,1.53125,1.541667,1.541667,1188000,1.5421876,1.530878,,,,,,,,,,41.24805369,0.072917,,,-0.041666,980.006912,-49499.208,,,,,,-0.714277878,-848562.1186,-75542714.52,1.559028,,,,1.555632727
19,6/12/1997,1.583333,1.645833,1.552083,1.604167,1.604167,1632000,1.5520835,1.545759,,,,,,,,,,46.26276428,0.104166,,,0.0625,1442.828931,102000,,,,,,0.111125333,181356.544,-75361357.98,1.600694333,,,,1.570495882
20,6/13/1997,1.625,1.625,1.583333,1.583333,1.583333,693600,1.5604168,1.551711357,,,,,,,,,,44.88737649,0.041667,,,-0.020834,559.997888,-14450.4624,,,,,,-1,-693600,-76054957.98,1.597222,,,,1.574823905
21,6/16/1997,1.604167,1.604167,1.5625,1.572917,1.572917,913200,1.5666668,1.550967357,1.575047364,1.569080906,1.823900876,1.326193851,,,,9.914392865,,44.18018968,0.041667,0.108052174,,-0.010416,814.2931593,-9511.8912,,,,,,-0.499988,-456589.0417,-76511547.02,1.579861333,1.588462742,,,1.574129888
22,6/17/1997,1.598958,1.598958,1.494792,1.505208,1.505208,4706400,1.5692709,1.549107214,1.554450773,1.56466171,1.736376555,1.372524991,,,,7.29324936,,39.79154111,0.104166,0.1077833,1.634983101,-0.067709,611.1104,-318665.6376,0.03429629,-0.06986971,16.22804211,,-83.77195789,-0.80001152,-3765174.218,-80276721.24,1.532986,1.561395197,84.09999777,-0.022520173,1.54596148
